n_users,n_converted,method,mae,kendall_tau
1000,32,Last Click,0.033954781057395,0.6190476190476191
1000,32,Linear,0.0506071223813499,0.7142857142857143
1000,32,Time Decay,0.030115239131562,0.8095238095238096
1000,32,Markov (1st),0.0688226798095017,0.6190476190476191
1000,32,Shapley (model),0.1182556512266929,0.1428571428571428
1000,32,DML,0.1587893842258136,0.1028688999747279
5000,125,Last Click,0.0370381025812938,0.8095238095238096
5000,125,Linear,0.048207987074742,0.6190476190476191
5000,125,Time Decay,0.0341944339439163,0.9047619047619048
5000,125,Markov (1st),0.0611495767410083,0.4285714285714286
5000,125,Shapley (model),0.0562911560325894,0.9759000729485332
5000,125,DML,0.0736809714294367,0.6190476190476191
5000,125,LSTM+Attention,0.0424492715187335,0.7142857142857143
10000,258,Last Click,0.0486023948177945,0.8095238095238096
10000,258,Linear,0.0477598038582788,0.5238095238095238
10000,258,Time Decay,0.0325715082134514,0.8095238095238096
10000,258,Markov (1st),0.0582093729909383,0.4285714285714286
10000,258,Shapley (model),0.0233977726215051,1.0
10000,258,DML,0.0486878827900768,0.6190476190476191
10000,258,LSTM+Attention,0.0341617091745505,0.7142857142857143
50000,1278,Last Click,0.0435641319720493,0.7142857142857143
50000,1278,Linear,0.0488242285742221,0.4285714285714286
50000,1278,Time Decay,0.0350949976380725,0.7142857142857143
50000,1278,Markov (1st),0.0589017058795627,0.4285714285714286
50000,1278,Shapley (model),0.0256547352009761,0.9047619047619048
50000,1278,DML,0.0295551918859364,0.7142857142857143
50000,1278,LSTM+Attention,0.0517912108215783,0.7142857142857143
100000,2739,Last Click,0.0489304293266792,0.7142857142857143
100000,2739,Linear,0.0497497566399476,0.4285714285714286
100000,2739,Time Decay,0.0348856740742133,0.8095238095238096
100000,2739,Markov (1st),0.0595456484386542,0.4285714285714286
100000,2739,Shapley (model),0.0302026638467936,0.9047619047619048
100000,2739,DML,0.0274806873282924,0.8095238095238096
100000,2739,LSTM+Attention,0.0625102862921234,0.9047619047619048
1000,28,Survival/Poisson,0.0792315034462671,0.7142857142857143
5000,102,Survival/Poisson,0.0533836908785202,0.9047619047619048
10000,200,Survival/Poisson,0.0396642700051486,0.8095238095238096
50000,1078,Survival/Poisson,0.0475755807934206,0.9047619047619048
100000,2245,Survival/Poisson,0.0493506048950642,1.0
1000,28,Survival/Poisson (Shapley),0.0632133864601778,0.4285714285714286
5000,102,Survival/Poisson (Shapley),0.03221393714662864,0.9047619047619049
10000,200,Survival/Poisson (Shapley),0.028304952884677968,0.7142857142857143
50000,1078,Survival/Poisson (Shapley),0.0162668760037279,0.9047619047619049
100000,2245,Survival/Poisson (Shapley),0.011607994568888533,0.9047619047619049
