base_rate_level,alpha_0,base_rate,conversion_rate,channel,ground_truth_a,ground_truth_b,incremental_shapley,total_shapley,backelim,difference
Low base (~3%),-3.5,0.163667793972172,0.1652,Display,0.06052077181552879,0.08375083323982528,0.08161189430235348,0.010899399089003541,0.031710513916274996,-0.07071249521334994
Low base (~3%),-3.5,0.163667793972172,0.1652,Social,0.0378049724444061,0.050421388806324935,0.05576208402238244,0.0,0.025311820878569414,-0.05576208402238244
Low base (~3%),-3.5,0.163667793972172,0.1652,Organic Search,0.12995671738618697,0.147485069362161,0.15946040842394663,0.11057757822778651,0.06968748134296049,-0.04888283019616012
Low base (~3%),-3.5,0.163667793972172,0.1652,Paid Search,0.31461898425996393,0.2994907089438532,0.30895565423975274,0.3961149573439871,0.44183204168739115,0.08715930310423436
Low base (~3%),-3.5,0.163667793972172,0.1652,Email,0.22321718288326417,0.20980971116635924,0.17649080072203507,0.2552687442727438,0.20206302440927776,0.07877794355070875
Low base (~3%),-3.5,0.163667793972172,0.1652,Referral,0.074328843870551,0.07177937459392437,0.07289151119723816,0.0505322731828559,0.04620274553102676,-0.022359238014382263
Low base (~3%),-3.5,0.163667793972172,0.1652,Direct,0.1595525273400991,0.137262913887552,0.14482764709229148,0.17660704788362297,0.18319237223449944,0.031779400791331486
Medium base (~8%),-2.5,0.16251544759971964,0.3612666666666667,Display,0.06080409025351463,0.08174796606988308,0.08100981015025659,0.0,0.04147802768512789,-0.08100981015025659
Medium base (~8%),-2.5,0.16251544759971964,0.3612666666666667,Social,0.04057031158277921,0.05378062197697523,0.05523892313827003,0.0,0.03440035596678563,-0.05523892313827003
Medium base (~8%),-2.5,0.16251544759971964,0.3612666666666667,Organic Search,0.13282841875005016,0.14696839062356368,0.1298343043647241,0.10154167647584661,0.0744419195943945,-0.028292627888877486
Medium base (~8%),-2.5,0.16251544759971964,0.3612666666666667,Paid Search,0.3014585467313418,0.29586083014666625,0.31359171565775656,0.39636639350309355,0.3938744599349377,0.08277467784533699
Medium base (~8%),-2.5,0.16251544759971964,0.3612666666666667,Email,0.2252457819742856,0.20875342327909663,0.19446279988485785,0.27368288154931564,0.21469545660284617,0.07922008166445779
Medium base (~8%),-2.5,0.16251544759971964,0.3612666666666667,Referral,0.07620266881143888,0.07243235480243464,0.08217757854576808,0.062442794089820494,0.05386921989541835,-0.01973478445594759
Medium base (~8%),-2.5,0.16251544759971964,0.3612666666666667,Direct,0.16289018189658963,0.1404564131013805,0.1436848682583668,0.16596625438192375,0.1872405603204897,0.022281386123556957
High base (~20%),-1.8,0.1649473370391464,0.5560666666666667,Display,0.06276156370991877,0.08036741515537818,0.08833828192023536,0.0,0.05387130207590252,-0.08833828192023536
High base (~20%),-1.8,0.1649473370391464,0.5560666666666667,Social,0.04218586768542161,0.0588778243601182,0.04187540725304035,0.0,0.029444291620461298,-0.04187540725304035
High base (~20%),-1.8,0.1649473370391464,0.5560666666666667,Organic Search,0.13623276377239768,0.14711798942311796,0.13022787141354933,0.0963591698174808,0.08769226952551605,-0.03386870159606853
High base (~20%),-1.8,0.1649473370391464,0.5560666666666667,Paid Search,0.28761656036400884,0.2886831912120936,0.3208274320520758,0.3998558727504216,0.35177726179275814,0.0790284406983458
High base (~20%),-1.8,0.1649473370391464,0.5560666666666667,Email,0.22721993684319317,0.20725280203910754,0.19959944133796684,0.2867109014228093,0.22560608365806648,0.08711146008484247
High base (~20%),-1.8,0.1649473370391464,0.5560666666666667,Referral,0.07680831988303742,0.07342406078137582,0.07930040081921616,0.048906366896846375,0.057007686790183164,-0.030394033922369786
High base (~20%),-1.8,0.1649473370391464,0.5560666666666667,Direct,0.16717498774202255,0.1442767170288086,0.13983116520391614,0.1681676891124419,0.19460110453711238,0.028336523908525757
