method,allocation_mae,allocation_tau,alloc_Display,alloc_Email,alloc_Paid Search,alloc_Social,gt_alloc_Display,gt_alloc_Email,gt_alloc_Paid Search,gt_alloc_Social,category
Incremental Shapley,0.012791517618966734,1.0,0.2101385220046879,0.7174351788043296,0.001191044122740917,0.07123525506824147,0.18484334294470287,0.7367265039559263,0.000903187944792564,0.0775269651545783,Causal (incremental)
Survival/Poisson (Shapley),0.01933656612140372,1.0,0.17844146273724787,0.7749181602694509,0.0013846638740752902,0.045255713119225764,0.18484334294470287,0.7367265039559263,0.000903187944792564,0.0775269651545783,
LSTM+Attention (attn weights),0.0328946889716742,1.0,0.1190539650013544,0.7747844014523547,0.0022452995769932193,0.10391633396929756,0.18484334294470287,0.7367265039559263,0.000903187944792564,0.0775269651545783,Deep Learning
CAMTA (Causal Attention),0.03573701147747699,1.0,0.13853920679662585,0.8075636232211038,0.0015400916345690908,0.05235707834770133,0.18484334294470287,0.7367265039559263,0.000903187944792564,0.0775269651545783,Causal (incremental)
Time Decay (7.0d),0.036911874888998934,1.0,0.199560256660652,0.6629129980532593,0.000892944069461707,0.13663380121662705,0.18484334294470287,0.7367265039559263,0.000903187944792564,0.0775269651545783,Rule-based
DML,0.044981267917598426,1.0,0.2744058169439208,0.6932123891162789,0.0013032497807714937,0.03107854415902886,0.18484334294470287,0.7367265039559263,0.000903187944792564,0.0775269651545783,Causal (debiased)
Last Click,0.05423133093776585,1.0,0.08499377478027965,0.844194925182507,0.001897428593743539,0.0689138714434698,0.18484334294470287,0.7367265039559263,0.000903187944792564,0.0775269651545783,Rule-based
Linear,0.06384339511294784,1.0,0.23508091825292735,0.6091991147664846,0.0007437869083385841,0.15497618007224948,0.18484334294470287,0.7367265039559263,0.000903187944792564,0.0775269651545783,Rule-based
Position-Based (40%/40%),0.07229971349783554,1.0,0.24694138787317146,0.5922307175069669,0.0007995473980809378,0.16002834722178078,0.18484334294470287,0.7367265039559263,0.000903187944792564,0.0775269651545783,Rule-based
LSTM+Attention (LOO),0.0772079367313018,1.0,0.09776464969141856,0.8907334608607888,0.001312104502533714,0.010189784945258963,0.18484334294470287,0.7367265039559263,0.000903187944792564,0.0775269651545783,Deep Learning
Survival/Poisson (BackElim),0.08336074937495053,1.0,0.06774464795299101,0.9020589778735196,0.00229221277710032,0.027904161396389144,0.18484334294470287,0.7367265039559263,0.000903187944792564,0.0775269651545783,
Markov (order=2),0.08758345317152036,1.0,0.25827674246910376,0.5617134797739411,0.0007493057837369977,0.17926047197321812,0.18484334294470287,0.7367265039559263,0.000903187944792564,0.0775269651545783,Statistical
IPW,0.08956288720414982,1.0,0.3505176348061808,0.5576007295476267,0.0010878391966731092,0.09079379644951947,0.18484334294470287,0.7367265039559263,0.000903187944792564,0.0775269651545783,Causal (debiased)
Markov (order=1),0.10261860894127035,1.0,0.2772942588245676,0.5316689398534634,0.0007235341647148336,0.19031326715725433,0.18484334294470287,0.7367265039559263,0.000903187944792564,0.0775269651545783,Statistical
Shapley (model-based),0.11652757365738547,0.6666666666666669,0.029315160784510023,0.9692066475410417,0.0014781916744481078,1.1195532981231547e-16,0.18484334294470287,0.7367265039559263,0.000903187944792564,0.0775269651545783,Game-theoretic
Transformer (2L/2H),0.12130063260675988,1.0,0.30080683992207863,0.49458467778610793,0.0004437489010911681,0.2041647333907223,0.18484334294470287,0.7367265039559263,0.000903187944792564,0.0775269651545783,Deep Learning
Doubly Robust,0.13123515707629752,0.0,6.284625127783986e-17,0.9991968181085213,0.0008031818914785864,7.855781409729981e-17,0.18484334294470287,0.7367265039559263,0.000903187944792564,0.0775269651545783,Causal (debiased)
First Click,0.17240152400330558,1.0,0.3766011955593508,0.39282664389410765,2.185366414825778e-19,0.23057216054654145,0.18484334294470287,0.7367265039559263,0.000903187944792564,0.0775269651545783,Rule-based
