method,category,expected_paid_conversions,expected_paid_revenue,absolute_lift_vs_baseline,revenue_lift_pct,revenue_vs_gt,allocation_mae,alloc_Display,alloc_Email,alloc_Paid Search,alloc_Social
Doubly Robust,Causal,30509030.342687316,3050903034.2687316,3041457818.3293557,322.0104058870613,1.2627888603128399,0.13123515707629752,6.284625127783986e-17,0.9991968181085213,0.0008031818914785864,7.855781409729981e-17
Shapley (model-based),Game-theoretic,29817927.76422437,2981792776.4224367,2972347560.483061,314.6934468794665,1.2341836694033337,0.11652757365738547,0.029315160784510023,0.9692066475410417,0.0014781916744481078,1.1195532981231547e-16
Survival/Poisson (BackElim),Causal,27791834.930853065,2779183493.0853066,2769738277.145931,293.24245151445007,1.150322352566884,0.07596247126747463,0.07755206240355825,0.8872853719348066,0.0022692625008616032,0.032893303160773685
LSTM+Attention (LOO),Deep Learning,27406985.378662553,2740698537.8662553,2731253321.9268794,289.1679067432064,1.1343931761248982,0.06624221717695769,0.10293419777200125,0.8689394653800288,0.0011746608746054578,0.026951675973364463
Last Click,Rule-based,26648864.794736587,2664886479.4736586,2655441263.5342827,281.1414032858798,1.1030140658286234,0.05423133093776585,0.08499377478027965,0.844194925182507,0.001897428593743539,0.0689138714434698
LSTM+Attention (attn weights),Deep Learning,25886889.129549894,2588688912.9549894,2579243697.0156136,273.0740846551842,1.0714753911798616,0.03749083448781561,0.11898935274028774,0.8107643299500652,0.0018470309262848892,0.06839928638336219
Incremental Shapley,Causal,23744584.99531569,2374458499.531569,2365013283.592193,250.39271719906048,0.9828040120594326,0.012791517618966734,0.2101385220046879,0.7174351788043296,0.001191044122740917,0.07123525506824147
DML,Causal,23368294.04187588,2336829404.187588,2327384188.2482123,246.40878548320526,0.9672290816567631,0.044981267917598426,0.2744058169439208,0.6932123891162789,0.0013032497807714937,0.03107854415902886
Time Decay (7.0d),Rule-based,22208913.1444914,2220891314.44914,2211446098.509764,234.1339904459507,0.919241542700857,0.036911874888998934,0.199560256660652,0.6629129980532593,0.000892944069461707,0.13663380121662705
CAMTA (Causal Attention),Causal DL,21628746.962760057,2162874696.2760057,2153429480.33663,227.99155616540972,0.8952280823190794,0.05014797775238355,0.23267472151837418,0.6364305484511592,0.002132957180828004,0.12876177284963863
Linear,Rule-based,20899886.080985576,2089988608.0985575,2080543392.1591816,220.2748360136135,0.8650600503664277,0.06384339511294784,0.23508091825292735,0.6091991147664846,0.0007437869083385841,0.15497618007224948
Position-Based (40%/40%),Rule-based,20488877.041477967,2048887704.1477966,2039442488.2084208,215.92333105972287,0.8480481155147358,0.07229971349783554,0.24694138787317146,0.5922307175069669,0.0007995473980809378,0.16002834722178078
IPW,Causal,20002532.655804068,2000253265.5804067,1990808049.6410308,210.7742228890309,0.8279180010664443,0.08956288720414982,0.3505176348061808,0.5576007295476267,0.0010878391966731092,0.09079379644951947
Markov (order=2),Statistical,19705708.91657725,1970570891.6577249,1961125675.718349,207.63164000758084,0.8156322710002356,0.08758345317152036,0.25827674246910376,0.5617134797739411,0.0007493057837369977,0.17926047197321812
Markov (order=1),Statistical,18969545.43301878,1896954543.3018782,1887509327.3625023,199.83760450554962,0.7851619795499685,0.10261860894127035,0.2772942588245676,0.5316689398534634,0.0007235341647148336,0.19031326715725433
First Click,Rule-based,15620300.504828243,1562030050.4828243,1552584834.5434484,164.37790776925812,0.6465345260297346,0.17240152400330558,0.3766011955593508,0.39282664389410765,2.185366414825778e-19,0.23057216054654145
Transformer (2L/2H),Deep Learning,15133102.651584776,1513310265.1584775,1503865049.2191017,159.21976362125187,0.6263690859966119,0.17576848412373647,0.31212033057864497,0.385553902299822,0.0005388213534239301,0.30178694576810905
