method,bootstrap_idx,channel,credit,tier
Last Click,0,Display,0.008130081300813,light
Last Click,0,Social,0.032520325203252,light
Last Click,0,Organic Search,0.0975609756097561,light
Last Click,0,Paid Search,0.4146341463414634,light
Last Click,0,Email,0.2032520325203252,light
Last Click,0,Referral,0.048780487804878,light
Last Click,0,Direct,0.1951219512195122,light
Last Click,1,Display,0.0277777777777777,light
Last Click,1,Social,0.0555555555555555,light
Last Click,1,Organic Search,0.0462962962962962,light
Last Click,1,Paid Search,0.3703703703703703,light
Last Click,1,Email,0.2129629629629629,light
Last Click,1,Referral,0.074074074074074,light
Last Click,1,Direct,0.2129629629629629,light
Last Click,2,Display,0.0188679245283018,light
Last Click,2,Social,0.0660377358490566,light
Last Click,2,Organic Search,0.0754716981132075,light
Last Click,2,Paid Search,0.3396226415094339,light
Last Click,2,Email,0.1415094339622641,light
Last Click,2,Referral,0.0754716981132075,light
Last Click,2,Direct,0.2830188679245283,light
Last Click,3,Display,0.0309278350515463,light
Last Click,3,Social,0.0206185567010309,light
Last Click,3,Organic Search,0.0618556701030927,light
Last Click,3,Paid Search,0.3608247422680412,light
Last Click,3,Email,0.1855670103092783,light
Last Click,3,Referral,0.0515463917525773,light
Last Click,3,Direct,0.2886597938144329,light
Last Click,4,Display,0.016,light
Last Click,4,Social,0.064,light
Last Click,4,Organic Search,0.08,light
Last Click,4,Paid Search,0.336,light
Last Click,4,Email,0.192,light
Last Click,4,Referral,0.064,light
Last Click,4,Direct,0.248,light
Last Click,5,Display,0.0388349514563106,light
Last Click,5,Social,0.0485436893203883,light
Last Click,5,Organic Search,0.0970873786407767,light
Last Click,5,Paid Search,0.3786407766990291,light
Last Click,5,Email,0.1650485436893204,light
Last Click,5,Referral,0.0485436893203883,light
Last Click,5,Direct,0.2233009708737864,light
Last Click,6,Display,0.017391304347826,light
Last Click,6,Social,0.0347826086956521,light
Last Click,6,Organic Search,0.0608695652173913,light
Last Click,6,Paid Search,0.3304347826086956,light
Last Click,6,Email,0.2347826086956521,light
Last Click,6,Referral,0.1043478260869565,light
Last Click,6,Direct,0.217391304347826,light
Last Click,7,Display,0.0306122448979591,light
Last Click,7,Social,0.0408163265306122,light
Last Click,7,Organic Search,0.0510204081632653,light
Last Click,7,Paid Search,0.3673469387755102,light
Last Click,7,Email,0.2551020408163265,light
Last Click,7,Referral,0.0612244897959183,light
Last Click,7,Direct,0.1938775510204081,light
Last Click,8,Display,0.0330578512396694,light
Last Click,8,Social,0.024793388429752,light
Last Click,8,Organic Search,0.0495867768595041,light
Last Click,8,Paid Search,0.3801652892561983,light
Last Click,8,Email,0.1818181818181818,light
Last Click,8,Referral,0.0909090909090909,light
Last Click,8,Direct,0.2396694214876033,light
Last Click,9,Display,0.0265486725663716,light
Last Click,9,Social,0.0353982300884955,light
Last Click,9,Organic Search,0.0619469026548672,light
Last Click,9,Paid Search,0.3185840707964602,light
Last Click,9,Email,0.168141592920354,light
Last Click,9,Referral,0.0973451327433628,light
Last Click,9,Direct,0.2920353982300885,light
Last Click,10,Display,0.0603448275862069,light
Last Click,10,Social,0.0603448275862069,light
Last Click,10,Organic Search,0.0517241379310344,light
Last Click,10,Paid Search,0.3017241379310345,light
Last Click,10,Email,0.1379310344827586,light
Last Click,10,Referral,0.0344827586206896,light
Last Click,10,Direct,0.3534482758620689,light
Last Click,11,Display,0.0446428571428571,light
Last Click,11,Social,0.0357142857142857,light
Last Click,11,Organic Search,0.0803571428571428,light
Last Click,11,Paid Search,0.4285714285714285,light
Last Click,11,Email,0.1517857142857142,light
Last Click,11,Referral,0.0892857142857142,light
Last Click,11,Direct,0.1696428571428571,light
Last Click,12,Display,0.0254237288135593,light
Last Click,12,Social,0.0169491525423728,light
Last Click,12,Organic Search,0.0847457627118644,light
Last Click,12,Paid Search,0.3220338983050847,light
Last Click,12,Email,0.2288135593220339,light
Last Click,12,Referral,0.0677966101694915,light
Last Click,12,Direct,0.2542372881355932,light
Last Click,13,Display,0.0446428571428571,light
Last Click,13,Social,0.0535714285714285,light
Last Click,13,Organic Search,0.0803571428571428,light
Last Click,13,Paid Search,0.2946428571428571,light
Last Click,13,Email,0.2321428571428571,light
Last Click,13,Referral,0.0535714285714285,light
Last Click,13,Direct,0.2410714285714285,light
Last Click,14,Display,0.0194174757281553,light
Last Click,14,Social,0.0485436893203883,light
Last Click,14,Organic Search,0.0679611650485436,light
Last Click,14,Paid Search,0.3689320388349514,light
Last Click,14,Email,0.203883495145631,light
Last Click,14,Referral,0.0485436893203883,light
Last Click,14,Direct,0.2427184466019417,light
Last Click,15,Display,0.0068965517241379,light
Last Click,15,Social,0.0620689655172413,light
Last Click,15,Organic Search,0.0482758620689655,light
Last Click,15,Paid Search,0.3241379310344827,light
Last Click,15,Email,0.2620689655172414,light
Last Click,15,Referral,0.0344827586206896,light
Last Click,15,Direct,0.2620689655172414,light
Last Click,16,Display,0.0263157894736842,light
Last Click,16,Social,0.0263157894736842,light
Last Click,16,Organic Search,0.0614035087719298,light
Last Click,16,Paid Search,0.3508771929824561,light
Last Click,16,Email,0.2017543859649122,light
Last Click,16,Referral,0.0526315789473684,light
Last Click,16,Direct,0.2807017543859649,light
Last Click,17,Display,0.0353982300884955,light
Last Click,17,Social,0.0088495575221238,light
Last Click,17,Organic Search,0.1238938053097345,light
Last Click,17,Paid Search,0.3185840707964602,light
Last Click,17,Email,0.2035398230088495,light
Last Click,17,Referral,0.0530973451327433,light
Last Click,17,Direct,0.2566371681415929,light
Last Click,18,Display,0.0277777777777777,light
Last Click,18,Social,0.0277777777777777,light
Last Click,18,Organic Search,0.0185185185185185,light
Last Click,18,Paid Search,0.4722222222222222,light
Last Click,18,Email,0.2314814814814814,light
Last Click,18,Referral,0.0462962962962962,light
Last Click,18,Direct,0.1759259259259259,light
Last Click,19,Display,0.0625,light
Last Click,19,Social,0.0520833333333333,light
Last Click,19,Organic Search,0.0520833333333333,light
Last Click,19,Paid Search,0.34375,light
Last Click,19,Email,0.1979166666666666,light
Last Click,19,Referral,0.0625,light
Last Click,19,Direct,0.2291666666666666,light
Last Click,20,Display,0.0416666666666666,light
Last Click,20,Social,0.0625,light
Last Click,20,Organic Search,0.0833333333333333,light
Last Click,20,Paid Search,0.3541666666666667,light
Last Click,20,Email,0.1666666666666666,light
Last Click,20,Referral,0.0625,light
Last Click,20,Direct,0.2291666666666666,light
Last Click,21,Display,0.0097087378640776,light
Last Click,21,Social,0.058252427184466,light
Last Click,21,Organic Search,0.0679611650485436,light
Last Click,21,Paid Search,0.3495145631067961,light
Last Click,21,Email,0.1844660194174757,light
Last Click,21,Referral,0.087378640776699,light
Last Click,21,Direct,0.2427184466019417,light
Last Click,22,Display,0.0392156862745098,light
Last Click,22,Social,0.0392156862745098,light
Last Click,22,Organic Search,0.0686274509803921,light
Last Click,22,Paid Search,0.4509803921568627,light
Last Click,22,Email,0.1568627450980392,light
Last Click,22,Referral,0.088235294117647,light
Last Click,22,Direct,0.1568627450980392,light
Last Click,23,Display,0.008695652173913,light
Last Click,23,Social,0.0347826086956521,light
Last Click,23,Organic Search,0.0869565217391304,light
Last Click,23,Paid Search,0.3304347826086956,light
Last Click,23,Email,0.2347826086956521,light
Last Click,23,Referral,0.0521739130434782,light
Last Click,23,Direct,0.2521739130434782,light
Last Click,24,Display,0.0483870967741935,light
Last Click,24,Social,0.0725806451612903,light
Last Click,24,Organic Search,0.0403225806451612,light
Last Click,24,Paid Search,0.2419354838709677,light
Last Click,24,Email,0.1935483870967742,light
Last Click,24,Referral,0.0806451612903225,light
Last Click,24,Direct,0.3225806451612903,light
Last Click,25,Display,0.0303030303030303,light
Last Click,25,Social,0.0303030303030303,light
Last Click,25,Organic Search,0.0833333333333333,light
Last Click,25,Paid Search,0.3712121212121212,light
Last Click,25,Email,0.2045454545454545,light
Last Click,25,Referral,0.0454545454545454,light
Last Click,25,Direct,0.2348484848484848,light
Last Click,26,Display,0.0403225806451612,light
Last Click,26,Social,0.032258064516129,light
Last Click,26,Organic Search,0.0887096774193548,light
Last Click,26,Paid Search,0.3064516129032258,light
Last Click,26,Email,0.2096774193548387,light
Last Click,26,Referral,0.0483870967741935,light
Last Click,26,Direct,0.2741935483870967,light
Last Click,27,Display,0.0625,light
Last Click,27,Social,0.0446428571428571,light
Last Click,27,Organic Search,0.0625,light
Last Click,27,Paid Search,0.375,light
Last Click,27,Email,0.1696428571428571,light
Last Click,27,Referral,0.0625,light
Last Click,27,Direct,0.2232142857142857,light
Last Click,28,Display,0.040983606557377,light
Last Click,28,Social,0.040983606557377,light
Last Click,28,Organic Search,0.040983606557377,light
Last Click,28,Paid Search,0.3360655737704918,light
Last Click,28,Email,0.1967213114754098,light
Last Click,28,Referral,0.040983606557377,light
Last Click,28,Direct,0.3032786885245901,light
Last Click,29,Display,0.0178571428571428,light
Last Click,29,Social,0.0446428571428571,light
Last Click,29,Organic Search,0.0982142857142857,light
Last Click,29,Paid Search,0.375,light
Last Click,29,Email,0.1517857142857142,light
Last Click,29,Referral,0.0803571428571428,light
Last Click,29,Direct,0.2321428571428571,light
Last Click,30,Display,0.0566037735849056,light
Last Click,30,Social,0.0566037735849056,light
Last Click,30,Organic Search,0.0566037735849056,light
Last Click,30,Paid Search,0.3490566037735849,light
Last Click,30,Email,0.1792452830188679,light
Last Click,30,Referral,0.0377358490566037,light
Last Click,30,Direct,0.2641509433962264,light
Last Click,31,Display,0.0483870967741935,light
Last Click,31,Social,0.0564516129032258,light
Last Click,31,Organic Search,0.0483870967741935,light
Last Click,31,Paid Search,0.3467741935483871,light
Last Click,31,Email,0.2419354838709677,light
Last Click,31,Referral,0.0483870967741935,light
Last Click,31,Direct,0.2096774193548387,light
Last Click,32,Display,0.0,light
Last Click,32,Social,0.0260869565217391,light
Last Click,32,Organic Search,0.1130434782608695,light
Last Click,32,Paid Search,0.3391304347826087,light
Last Click,32,Email,0.2,light
Last Click,32,Referral,0.0608695652173913,light
Last Click,32,Direct,0.2608695652173913,light
Last Click,33,Display,0.0495049504950495,light
Last Click,33,Social,0.0198019801980198,light
Last Click,33,Organic Search,0.0792079207920792,light
Last Click,33,Paid Search,0.3267326732673267,light
Last Click,33,Email,0.2079207920792079,light
Last Click,33,Referral,0.0396039603960396,light
Last Click,33,Direct,0.2772277227722772,light
Last Click,34,Display,0.0427350427350427,light
Last Click,34,Social,0.0256410256410256,light
Last Click,34,Organic Search,0.0427350427350427,light
Last Click,34,Paid Search,0.3504273504273504,light
Last Click,34,Email,0.1623931623931624,light
Last Click,34,Referral,0.1196581196581196,light
Last Click,34,Direct,0.2564102564102564,light
Last Click,35,Display,0.0476190476190476,light
Last Click,35,Social,0.0396825396825396,light
Last Click,35,Organic Search,0.0873015873015873,light
Last Click,35,Paid Search,0.3809523809523809,light
Last Click,35,Email,0.1904761904761904,light
Last Click,35,Referral,0.0476190476190476,light
Last Click,35,Direct,0.2063492063492063,light
Last Click,36,Display,0.0084745762711864,light
Last Click,36,Social,0.0254237288135593,light
Last Click,36,Organic Search,0.059322033898305,light
Last Click,36,Paid Search,0.3898305084745763,light
Last Click,36,Email,0.211864406779661,light
Last Click,36,Referral,0.0762711864406779,light
Last Click,36,Direct,0.2288135593220339,light
Last Click,37,Display,0.024,light
Last Click,37,Social,0.08,light
Last Click,37,Organic Search,0.056,light
Last Click,37,Paid Search,0.296,light
Last Click,37,Email,0.232,light
Last Click,37,Referral,0.048,light
Last Click,37,Direct,0.264,light
Last Click,38,Display,0.017094017094017,light
Last Click,38,Social,0.0512820512820512,light
Last Click,38,Organic Search,0.0512820512820512,light
Last Click,38,Paid Search,0.3675213675213675,light
Last Click,38,Email,0.2051282051282051,light
Last Click,38,Referral,0.0769230769230769,light
Last Click,38,Direct,0.2307692307692307,light
Last Click,39,Display,0.048076923076923,light
Last Click,39,Social,0.0673076923076923,light
Last Click,39,Organic Search,0.0384615384615384,light
Last Click,39,Paid Search,0.3942307692307692,light
Last Click,39,Email,0.173076923076923,light
Last Click,39,Referral,0.0096153846153846,light
Last Click,39,Direct,0.2692307692307692,light
Last Click,40,Display,0.0347826086956521,light
Last Click,40,Social,0.0521739130434782,light
Last Click,40,Organic Search,0.0521739130434782,light
Last Click,40,Paid Search,0.3043478260869565,light
Last Click,40,Email,0.2260869565217391,light
Last Click,40,Referral,0.0695652173913043,light
Last Click,40,Direct,0.2608695652173913,light
Last Click,41,Display,0.0076923076923076,light
Last Click,41,Social,0.023076923076923,light
Last Click,41,Organic Search,0.0692307692307692,light
Last Click,41,Paid Search,0.3307692307692307,light
Last Click,41,Email,0.2076923076923077,light
Last Click,41,Referral,0.0846153846153846,light
Last Click,41,Direct,0.2769230769230769,light
Last Click,42,Display,0.0924369747899159,light
Last Click,42,Social,0.0336134453781512,light
Last Click,42,Organic Search,0.1008403361344537,light
Last Click,42,Paid Search,0.2773109243697479,light
Last Click,42,Email,0.1932773109243697,light
Last Click,42,Referral,0.042016806722689,light
Last Click,42,Direct,0.2605042016806723,light
Last Click,43,Display,0.008130081300813,light
Last Click,43,Social,0.024390243902439,light
Last Click,43,Organic Search,0.065040650406504,light
Last Click,43,Paid Search,0.3333333333333333,light
Last Click,43,Email,0.2195121951219512,light
Last Click,43,Referral,0.08130081300813,light
Last Click,43,Direct,0.2682926829268293,light
Last Click,44,Display,0.0743801652892562,light
Last Click,44,Social,0.0743801652892562,light
Last Click,44,Organic Search,0.0826446280991735,light
Last Click,44,Paid Search,0.3553719008264462,light
Last Click,44,Email,0.1735537190082644,light
Last Click,44,Referral,0.0495867768595041,light
Last Click,44,Direct,0.1900826446280991,light
Last Click,45,Display,0.042016806722689,light
Last Click,45,Social,0.042016806722689,light
Last Click,45,Organic Search,0.0504201680672268,light
Last Click,45,Paid Search,0.3193277310924369,light
Last Click,45,Email,0.2100840336134453,light
Last Click,45,Referral,0.0924369747899159,light
Last Click,45,Direct,0.2436974789915966,light
Last Click,46,Display,0.0172413793103448,light
Last Click,46,Social,0.0517241379310344,light
Last Click,46,Organic Search,0.0689655172413793,light
Last Click,46,Paid Search,0.3448275862068966,light
Last Click,46,Email,0.2068965517241379,light
Last Click,46,Referral,0.0603448275862069,light
Last Click,46,Direct,0.25,light
Last Click,47,Display,0.0258620689655172,light
Last Click,47,Social,0.0172413793103448,light
Last Click,47,Organic Search,0.1120689655172413,light
Last Click,47,Paid Search,0.3879310344827586,light
