method,channel,mean,std,count,q025,q975,cv,ci_width,category
CAMTA (Causal Attention),Direct,0.1592643827199936,0.0173705433484739,5,0.132462853193283,0.1722857356071472,0.109067344825073,0.0398228824138641,Causal DL
CAMTA (Causal Attention),Display,0.1080031275749206,0.0229840867890603,5,0.0753827176988124,0.1332857519388199,0.2128094556624438,0.0579030342400074,Causal DL
CAMTA (Causal Attention),Email,0.1695396572351455,0.0233668205357367,5,0.1482435047626495,0.2036881849169731,0.1378251019071473,0.0554446801543235,Causal DL
CAMTA (Causal Attention),Organic Search,0.1808132320642471,0.0103758684312586,5,0.1694405362010002,0.1952572092413902,0.0573844530779246,0.02581667304039,Causal DL
CAMTA (Causal Attention),Paid Search,0.1915521532297134,0.008736224594785,5,0.1815983265638351,0.2002704858779907,0.0456075509853882,0.0186721593141555,Causal DL
CAMTA (Causal Attention),Referral,0.0870287969708442,0.0080552485520022,5,0.0744170032441616,0.0922926746308803,0.0925584270077963,0.0178756713867187,Causal DL
CAMTA (Causal Attention),Social,0.1037986412644386,0.0074653917770202,5,0.0946250528097152,0.1136357098817825,0.0719218641600646,0.0190106570720672,Causal DL
DML,Direct,0.0575894836875539,0.0597824533090824,5,0.0,0.1356133581429564,1.0380793415934455,0.1356133581429564,Causal
DML,Display,0.138452259327236,0.0993276602348361,5,0.0110469871288768,0.2632168705832962,0.7174145132588432,0.2521698834544194,Causal
DML,Email,0.2442190265212276,0.0741637460928733,5,0.1284391097362634,0.2881101010588758,0.303677183343563,0.1596709913226124,Causal
DML,Organic Search,0.0599713791360015,0.0849225331625575,5,0.0,0.190504750366294,1.4160510294414357,0.190504750366294,Causal
DML,Paid Search,0.3591326568970791,0.0897690282635344,5,0.2455908679506941,0.4668170673219688,0.2499606386095393,0.2212261993712746,Causal
DML,Referral,0.0923211715737466,0.0840338987253033,5,0.0052761769472246,0.213784987357305,0.9102343188764304,0.2085088104100804,Causal
DML,Social,0.0483140228571552,0.0893078798743588,5,0.0,0.1886596558573968,1.8484877597215537,0.1886596558573968,Causal
Doubly Robust,Direct,0.241103780733667,0.1522949932712164,20,0.0,0.508681834885253,0.6316574248972383,0.508681834885253,Causal
Doubly Robust,Display,0.0,0.0,20,0.0,0.0,,0.0,Causal
Doubly Robust,Email,0.3868194729212,0.1700682211617785,20,0.1277378500410622,0.6790096657894966,0.439657858683923,0.5512718157484344,Causal
Doubly Robust,Organic Search,0.0,0.0,20,0.0,0.0,,0.0,Causal
Doubly Robust,Paid Search,0.2772451206795253,0.1916699085648509,20,0.0142756458035321,0.6567898437903943,0.6913373555324246,0.6425141979868622,Causal
Doubly Robust,Referral,0.0948316256656076,0.1246737628381578,20,0.0,0.3563855785555127,1.3146854961421686,0.3563855785555127,Causal
Doubly Robust,Social,0.0,0.0,20,0.0,0.0,,0.0,Causal
First Click,Direct,0.0986509011698297,0.0225701734224369,100,0.0540228951855159,0.1415467171717171,0.2287883147015746,0.0875238219862012,Rule-based
First Click,Display,0.1902758406655241,0.0361787677052149,100,0.1181206380857427,0.2723080317740511,0.1901385250942692,0.1541873936883084,Rule-based
First Click,Email,0.1186435570805343,0.032704033819134,100,0.0618102564102564,0.1903782894736841,0.275649471609611,0.1285680330634277,Rule-based
First Click,Organic Search,0.4039166352751632,0.0457468173051929,100,0.3227446483180428,0.4892227564102563,0.1132580669128135,0.1664781080922135,Rule-based
First Click,Paid Search,0.0,0.0,100,0.0,0.0,,0.0,Rule-based
First Click,Referral,0.0,0.0,100,0.0,0.0,,0.0,Rule-based
First Click,Social,0.1885130658089485,0.0361283774907649,100,0.1072830578512396,0.2490185950413223,0.1916491959627871,0.1417355371900826,Rule-based
IPW,Direct,0.0597478377195055,0.0566458379938648,20,0.0,0.1457778658359692,0.948081807743346,0.1457778658359692,Causal
IPW,Display,0.1492636881986108,0.0819221063829305,20,0.0,0.2628848069925203,0.5488414990384312,0.2628848069925203,Causal
IPW,Email,0.153291804744094,0.0712193659623226,20,0.0455679224686139,0.2679228662162003,0.4645999574551069,0.2223549437475863,Causal
IPW,Organic Search,0.2285560541510813,0.077689079969921,20,0.1396349317515479,0.3728650287867686,0.3399125884390996,0.2332300970352206,Causal
IPW,Paid Search,0.2548871732109521,0.1031675236805749,20,0.1037053299472726,0.4731720137384179,0.4047576124797401,0.3694666837911453,Causal
IPW,Referral,0.0889539373600112,0.0771624070374901,20,0.0,0.2571274280460641,0.8674422889815564,0.2571274280460641,Causal
IPW,Social,0.0652995046157449,0.0672186183236514,20,0.0,0.192181029405703,1.0293894068446552,0.192181029405703,Causal
Incremental Shapley,Direct,0.1222369995159539,0.0738182592746396,20,0.0,0.2356681329274346,0.6038945619325775,0.2356681329274346,Causal
Incremental Shapley,Display,0.0914089739178197,0.0580603309375894,20,0.0053075729743013,0.1914574774399636,0.6351710171234168,0.1861499044656623,Causal
Incremental Shapley,Email,0.2011641353127317,0.0756674884190412,20,0.092211574601924,0.3461087348038408,0.3761480062109871,0.2538971602019167,Causal
Incremental Shapley,Organic Search,0.1472699385588438,0.1035313655873379,20,0.0182123170868568,0.3154268820213529,0.70300406587031,0.2972145649344961,Causal
Incremental Shapley,Paid Search,0.2836547450923197,0.1095470437300203,20,0.1290159855363299,0.5260038948859482,0.3861985234703781,0.3969879093496183,Causal
Incremental Shapley,Referral,0.0919905962275661,0.0597284478009853,20,0.00129618959675,0.2124545149766428,0.6492886256898392,0.2111583253798928,Causal
Incremental Shapley,Social,0.0622746113747649,0.0527638774749323,20,0.0,0.1718059287799983,0.8472775069988375,0.1718059287799983,Causal
LSTM+Attention (attn weights),Direct,0.1589413680136203,0.0162479469966686,20,0.1313175365328788,0.1820344045758247,0.1022260422175069,0.0507168680429458,Deep Learning
LSTM+Attention (attn weights),Display,0.1003003690391779,0.0147185986078081,20,0.076684564165771,0.1257376095280051,0.1467452089040571,0.0490530453622341,Deep Learning
LSTM+Attention (attn weights),Email,0.1736042238771915,0.0209788407163862,20,0.1435927275568246,0.220378454402089,0.1208429164213586,0.0767857268452644,Deep Learning
LSTM+Attention (attn weights),Organic Search,0.1774590719491243,0.0213221493863009,20,0.1310545353218913,0.2038046445697545,0.1201524901043877,0.0727501092478632,Deep Learning
LSTM+Attention (attn weights),Paid Search,0.1907512508332729,0.0259369321626577,20,0.1585922233760356,0.2553907141089439,0.1359725404124771,0.0967984907329082,Deep Learning
LSTM+Attention (attn weights),Referral,0.0917986623942852,0.0163123564794002,20,0.0691281355917453,0.1247881453484296,0.177697104227259,0.0556600097566842,Deep Learning
LSTM+Attention (attn weights),Social,0.1071450646966695,0.0142005623658091,20,0.0742390532046556,0.1272054821252823,0.1325358513339953,0.0529664289206266,Deep Learning
Last Click,Direct,0.2366291135603169,0.0427020633473992,100,0.1552790346907994,0.3269100169779286,0.1804598880708501,0.1716309822871292,Rule-based
Last Click,Display,0.0328127975599546,0.0189495133526969,100,0.0032758620689655,0.0753305785123966,0.5775037412787769,0.0720547164434311,Rule-based
Last Click,Email,0.1969455274578126,0.0354245265989541,100,0.1217637083097795,0.2593810786914234,0.1798696678021406,0.1376173703816439,Rule-based
Last Click,Organic Search,0.0741095795712482,0.0242729159507223,100,0.0393455334987593,0.1302087808230946,0.3275273735345721,0.0908632473243353,Rule-based
Last Click,Paid Search,0.3533225217006959,0.0439240270676106,100,0.2855435924369748,0.4621323529411762,0.1243170881272587,0.1765887605042014,Rule-based
Last Click,Referral,0.0673691186105507,0.0244285470455553,100,0.022375,0.1200320512820512,0.362607490633395,0.0976570512820512,Rule-based
Last Click,Social,0.0388113415394209,0.0173732490964137,100,0.0085820070733863,0.0700759925558312,0.447633305299884,0.0614939854824448,Rule-based
Linear,Direct,0.1524676331691214,0.0154475518283799,100,0.1256885392317377,0.1867596691312565,0.1013169254830962,0.0610711298995187,Rule-based
Linear,Display,0.1090449761871432,0.015105250838477,100,0.0825604926415348,0.1413676477716458,0.1385231247384877,0.0588071551301109,Rule-based
Linear,Email,0.1691325384322891,0.016926300326219,100,0.1351002358506156,0.1990470782153684,0.1000771376289334,0.0639468423647528,Rule-based
Linear,Organic Search,0.1884483052003695,0.014411323425397,100,0.1613582704377154,0.2172406568531583,0.0764736165181962,0.0558823864154429,Rule-based
Linear,Paid Search,0.1727173492213212,0.0164539973447386,100,0.1423070024224306,0.2068937902529721,0.0952654578067569,0.0645867878305415,Rule-based
Linear,Referral,0.0948709361478988,0.0130438632320542,100,0.0712265255543877,0.1224287184848425,0.1374906136872048,0.0512021929304548,Rule-based
Linear,Social,0.1133182616418566,0.0118824154695526,100,0.0899216136472122,0.134106395637649,0.1048587870780007,0.0441847819904367,Rule-based
Markov (order=1),Direct,0.1499463291058259,0.0076850695609543,100,0.1343217669415036,0.1656731191882056,0.0512521353925944,0.031351352246702,Statistical
Markov (order=1),Display,0.1267425494721008,0.0044357867273112,100,0.1191733881836143,0.1372175716067981,0.0349984022397123,0.0180441834231837,Statistical
Markov (order=1),Email,0.1469759234255601,0.0062887858063394,100,0.1340094716736311,0.1589936663054482,0.0427878638879556,0.0249841946318171,Statistical
Markov (order=1),Organic Search,0.17170634653405,0.0043916966134659,100,0.1640410563500786,0.1816529443537627,0.0255767867764574,0.0176118880036841,Statistical
Markov (order=1),Paid Search,0.1647491278737891,0.0072768782605604,100,0.1532905173523445,0.1820048663876445,0.0441694493589985,0.0287143490353,Statistical
Markov (order=1),Referral,0.1007760236727019,0.0047621875419968,100,0.0919866733251388,0.1110301873229894,0.0472551641595164,0.0190435139978505,Statistical
Markov (order=1),Social,0.1391036999159719,0.003505029580516,100,0.1326230561674327,0.1453897476430104,0.025197241932697,0.0127666914755777,Statistical
Markov (order=2),Direct,0.1502502337612754,0.0083912758659886,100,0.1330605563756566,0.1635010353341119,0.0558486709532918,0.0304404789584553,Statistical
Markov (order=2),Display,0.1183943964214865,0.0062310680448498,100,0.1075898475110355,0.1306687705447225,0.0526297547281473,0.0230789230336869,Statistical
Markov (order=2),Email,0.1563452699878805,0.0088873926637526,100,0.1407500215015698,0.1741133414120989,0.0568446532756736,0.033363319910529,Statistical
Markov (order=2),Organic Search,0.168812986156784,0.0049696756857381,100,0.1602493705743557,0.1788597682237019,0.0294389418662532,0.0186103976493462,Statistical
Markov (order=2),Paid Search,0.1725048139466645,0.0086097555444328,100,0.1589815915500142,0.1915110649146157,0.0499102335027867,0.0325294733646015,Statistical
Markov (order=2),Referral,0.1018073776378588,0.0062656128679368,100,0.0919498014394885,0.1131567052417762,0.0615437998042179,0.0212069038022876,Statistical
Markov (order=2),Social,0.13188492208805,0.0051037744176638,100,0.12239529264109,0.1422330024090775,0.0386986953236124,0.0198377097679875,Statistical
Position-Based (40%/40%),Direct,0.1627066662787849,0.0206258830586177,100,0.1243983714315269,0.2074989882886135,0.1267672894439181,0.0831006168570865,Rule-based
