method,category,tau_vs_gt,mae_vs_gt,mean_tau_vs_peers,min_tau_vs_peers
Consensus (mean rank),Aggregate,0.8095238095238096,0.037999605134714065,,
LSTM+Attention (LOO),Deep Learning,1.0,0.027909965440653068,0.5598090463317207,-0.33333333333333337
Survival/Poisson (BackElim),Causal (incremental),1.0,0.04548205904983222,0.5598090463317207,-0.33333333333333337
CAMTA (Causal Attention),Causal (incremental),0.9047619047619049,0.02283448922121089,0.5487429123070481,-0.23809523809523814
Survival/Poisson (Shapley),Causal (incremental),0.9047619047619049,0.01622016815355983,0.5823563576851993,-0.23809523809523814
Shapley (model-based),Game-theoretic,0.9047619047619049,0.03465175707638229,0.5823563576851993,-0.23809523809523814
Incremental Shapley,Causal (incremental),0.9047619047619049,0.028766712032033577,0.5823563576851993,-0.23809523809523814
Last Click,Rule-based,0.8095238095238096,0.0378342296600468,0.5035099418320459,-0.4879500364742666
LSTM+Attention (attn weights),Deep Learning,0.8095238095238096,0.04344743379850481,0.5035099418320459,-0.4879500364742666
Time Decay (7.0d),Rule-based,0.8095238095238096,0.04369308940639558,0.5374000827462864,-0.29277002188455997
Doubly Robust,Causal (debiased),0.6190476190476191,0.07820425939106823,0.32423823314857253,-0.4879500364742666
DML,Causal (debiased),0.5238095238095238,0.0504116862417482,0.2907631355384659,-0.39036002917941326
Markov (order=2),Statistical,0.5238095238095238,0.061005436377866255,0.5266106442577031,0.0
Linear,Rule-based,0.4285714285714286,0.05642118556155963,0.4819310648548794,0.09759000729485331
Position-Based (40%/40%),Rule-based,0.33333333333333337,0.06514924220083669,0.4257703081232493,0.0
Markov (order=1),Statistical,0.33333333333333337,0.06577270268553735,0.4257703081232493,0.0
IPW,Causal (debiased),0.33333333333333337,0.07377115601229027,0.2915932221467335,-0.04761904761904762
First Click,Rule-based,-0.29277002188455997,0.15840463584167105,-0.14925530527448153,-0.4879500364742666
Transformer (2L/2H),Deep Learning,-0.33333333333333337,0.10029345931630387,-0.07746293817270748,-0.33333333333333337
