,CAMTA (Causal Attention),LSTM+Attention (LOO),Incremental Shapley,Shapley (model-based),Last Click,LSTM+Attention (attn weights),Time Decay (7.0d),DML,Linear,Markov (order=2),Position-Based (40%/40%),Markov (order=1),IPW,Doubly Robust,Transformer (2L/2H),First Click,Survival/Poisson (BackElim),Survival/Poisson (Shapley)
CAMTA (Causal Attention),1.0,0.9047619047619049,0.8095238095238096,0.8095238095238096,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.4285714285714286,0.5238095238095238,0.6190476190476191,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.5238095238095238,-0.23809523809523814,-0.19518001458970663,0.9047619047619049,0.8095238095238096
LSTM+Attention (LOO),0.9047619047619049,1.0,0.9047619047619049,0.9047619047619049,0.8095238095238096,0.8095238095238096,0.8095238095238096,0.5238095238095238,0.4285714285714286,0.5238095238095238,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6190476190476191,-0.33333333333333337,-0.29277002188455997,1.0,0.9047619047619049
Incremental Shapley,0.8095238095238096,0.9047619047619049,1.0,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6190476190476191,0.5238095238095238,0.6190476190476191,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.5238095238095238,-0.23809523809523814,-0.19518001458970663,0.9047619047619049,1.0
Shapley (model-based),0.8095238095238096,0.9047619047619049,1.0,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6190476190476191,0.5238095238095238,0.6190476190476191,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.5238095238095238,-0.23809523809523814,-0.19518001458970663,0.9047619047619049,1.0
Last Click,0.7142857142857143,0.8095238095238096,0.7142857142857143,0.7142857142857143,1.0,1.0,0.8095238095238096,0.33333333333333337,0.4285714285714286,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.14285714285714288,0.6190476190476191,-0.33333333333333337,-0.4879500364742666,0.8095238095238096,0.7142857142857143
LSTM+Attention (attn weights),0.7142857142857143,0.8095238095238096,0.7142857142857143,0.7142857142857143,1.0,1.0,0.8095238095238096,0.33333333333333337,0.4285714285714286,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.14285714285714288,0.6190476190476191,-0.33333333333333337,-0.4879500364742666,0.8095238095238096,0.7142857142857143
Time Decay (7.0d),0.7142857142857143,0.8095238095238096,0.7142857142857143,0.7142857142857143,0.8095238095238096,0.8095238095238096,1.0,0.33333333333333337,0.6190476190476191,0.7142857142857143,0.5238095238095238,0.5238095238095238,0.14285714285714288,0.6190476190476191,-0.14285714285714288,-0.29277002188455997,0.8095238095238096,0.7142857142857143
DML,0.4285714285714286,0.5238095238095238,0.6190476190476191,0.6190476190476191,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.14285714285714288,0.23809523809523814,0.04761904761904762,0.04761904761904762,0.4285714285714286,0.33333333333333337,-0.23809523809523814,-0.39036002917941326,0.5238095238095238,0.6190476190476191
Linear,0.5238095238095238,0.4285714285714286,0.5238095238095238,0.5238095238095238,0.4285714285714286,0.4285714285714286,0.6190476190476191,0.14285714285714288,1.0,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.33333333333333337,0.23809523809523814,0.23809523809523814,0.09759000729485331,0.4285714285714286,0.5238095238095238
Markov (order=2),0.6190476190476191,0.5238095238095238,0.6190476190476191,0.6190476190476191,0.5238095238095238,0.5238095238095238,0.7142857142857143,0.23809523809523814,0.9047619047619049,1.0,0.8095238095238096,0.8095238095238096,0.4285714285714286,0.33333333333333337,0.14285714285714288,0.0,0.5238095238095238,0.6190476190476191
Position-Based (40%/40%),0.4285714285714286,0.33333333333333337,0.4285714285714286,0.4285714285714286,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.04761904761904762,0.9047619047619049,0.8095238095238096,1.0,1.0,0.23809523809523814,0.14285714285714288,0.14285714285714288,0.0,0.33333333333333337,0.4285714285714286
Markov (order=1),0.4285714285714286,0.33333333333333337,0.4285714285714286,0.4285714285714286,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.04761904761904762,0.9047619047619049,0.8095238095238096,1.0,1.0,0.23809523809523814,0.14285714285714288,0.14285714285714288,0.0,0.33333333333333337,0.4285714285714286
IPW,0.4285714285714286,0.33333333333333337,0.4285714285714286,0.4285714285714286,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.4285714285714286,0.33333333333333337,0.4285714285714286,0.23809523809523814,0.23809523809523814,1.0,-0.04761904761904762,0.33333333333333337,0.19518001458970663,0.33333333333333337,0.4285714285714286
Doubly Robust,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5238095238095238,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.33333333333333337,0.23809523809523814,0.33333333333333337,0.14285714285714288,0.14285714285714288,-0.04761904761904762,1.0,-0.33333333333333337,-0.4879500364742666,0.6190476190476191,0.5238095238095238
Transformer (2L/2H),-0.23809523809523814,-0.33333333333333337,-0.23809523809523814,-0.23809523809523814,-0.33333333333333337,-0.33333333333333337,-0.14285714285714288,-0.23809523809523814,0.23809523809523814,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.33333333333333337,-0.33333333333333337,1.0,0.6831300510639733,-0.33333333333333337,-0.23809523809523814
First Click,-0.19518001458970663,-0.29277002188455997,-0.19518001458970663,-0.19518001458970663,-0.4879500364742666,-0.4879500364742666,-0.29277002188455997,-0.39036002917941326,0.09759000729485331,0.0,0.0,0.0,0.19518001458970663,-0.4879500364742666,0.6831300510639733,1.0,-0.29277002188455997,-0.19518001458970663
Survival/Poisson (BackElim),0.9047619047619049,1.0,0.9047619047619049,0.9047619047619049,0.8095238095238096,0.8095238095238096,0.8095238095238096,0.5238095238095238,0.4285714285714286,0.5238095238095238,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6190476190476191,-0.33333333333333337,-0.29277002188455997,1.0,0.9047619047619049
Survival/Poisson (Shapley),0.8095238095238096,0.9047619047619049,1.0,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6190476190476191,0.5238095238095238,0.6190476190476191,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.5238095238095238,-0.23809523809523814,-0.19518001458970663,0.9047619047619049,1.0
