method,mae,rmse,kendall_tau,top3_accuracy,bias_Direct,bias_Display,bias_Email,bias_Organic Search,bias_Paid Search,bias_Referral,bias_Social
Incremental Shapley,0.01709267899064513,0.019274852544330288,0.8095238095238096,0.6666666666666666,-0.022770581746818064,0.02459010319490753,-0.008050118487314795,0.021963942249909357,-0.02741577528217376,-0.0015879009509512793,0.013270331022441115
Survival/Poisson (AICPE),0.025249045789135643,0.03149754812993939,0.9047619047619049,0.6666666666666666,-0.003411084308674539,0.030412593777548576,-0.018265632732177073,0.019392875688611116,-0.06669494322112307,0.026580336549422545,0.011985854246392591
LSTM+Attention (LOO),0.03442964685841941,0.039563962886057166,0.7142857142857143,1.0,0.023394279566174625,0.03033705974312114,-0.07099083235156198,0.014261122352466016,-0.0362290558040424,-0.013283875848863466,0.05251130234270625
Shapley (model-based),0.03465175707638233,0.03580705440099286,0.9047619047619049,0.6666666666666666,-0.0380148949010025,-0.046438579988841586,0.04424694585153455,0.024721087995385832,0.03247355780258482,0.019839558117833,-0.036827674877493985
LSTM+Attention (attn weights),0.035878486931324005,0.04270457848906517,0.7142857142857143,1.0,0.06340956687927246,-0.0008512847125530243,-0.06186969578266144,-0.05323626101016998,0.02571764588356018,-0.009617485105991364,0.036447472870349884
Last Click,0.03783422966004684,0.044625650441581476,0.8095238095238096,1.0,0.08033779640007202,-0.02796141965092381,-0.03474747392734573,-0.054981231001872174,0.047261092265894034,-0.01472967923002215,0.004820915144197989
CAMTA (Causal Attention),0.043214697390794754,0.04747474193572998,0.7142857142857143,1.0,0.07255664467811584,0.008492831140756607,-0.05400758981704712,-0.05287303775548935,0.04724720120429993,-0.04437078908085823,0.022954754531383514
Time Decay (7.0d),0.04369308940639564,0.053258441316160345,0.8095238095238096,1.0,0.016762622422316298,0.030761598811189762,-0.04504117681765005,0.02909532903368553,-0.10788463610473456,0.01363470784907106,0.06267155480612216
DML,0.05041168624174825,0.0599282294225726,0.5238095238095238,0.6666666666666666,-0.09833189492472559,0.08285644330842173,-0.009438344565316753,-0.05774218891102592,0.028303079548592625,0.06528137898910463,-0.010928473445050484
Linear,0.05642118556155967,0.07010278361037914,0.4285714285714286,0.6666666666666666,-0.0014093506882367768,0.048673004367652976,-0.0569967514621951,0.056225754189871524,-0.1390680473150269,0.0147063253952332,0.07786906551270122
Markov (order=2),0.06100543637786628,0.07432346606779551,0.5238095238095238,0.6666666666666666,-0.0039292602160206636,0.05881361104700165,-0.07094400525576203,0.03703102469111391,-0.1386457618507492,0.022486568836661794,0.0951878227477548
Position-Based (40%/40%),0.06514924220083672,0.07582908870111894,0.33333333333333337,0.6666666666666666,0.00729974785794027,0.050007222711491654,-0.06768053564820892,0.09341224471130494,-0.13289339275824774,-0.027448419296471807,0.0773031324221917
Markov (order=1),0.06577270268553738,0.07984112262950892,0.33333333333333337,0.6666666666666666,-0.0046817410553327,0.0668726378916816,-0.08004006541936823,0.040151814236476735,-0.14548265292467988,0.020614852721969473,0.10256515454925309
IPW,0.07377115601229034,0.08085179089420033,0.33333333333333337,0.3333333333333333,-0.12244799295598399,0.10009890214249287,-0.07319767331942575,0.09847440058527407,-0.0625533797676062,0.03007416001426509,0.02955158330098437
Doubly Robust,0.07820425939106827,0.09240175222939805,0.7200822998230957,1.0,0.07219377038485258,-0.06006554112597804,0.17108831955350895,-0.13177081885436676,-0.04505087301090016,0.030432817930377498,-0.036827674877493985
Transformer (2L/2H),0.11919987201690674,0.13612079620361328,-0.33333333333333337,0.0,-0.06953561305999756,0.10175074636936188,-0.10343490540981293,0.13112440705299377,-0.228936567902565,-0.015292473137378693,0.18432435393333435
First Click,0.15840463584167108,0.18202131721478737,-0.29277002188455997,0.0,-0.05718931856739003,0.13125766928616947,-0.10633098802712881,0.2725675759395595,-0.31109031771241397,-0.07980560113891585,0.1505909802201199
