method,mae,rmse,kendall_tau,dgp,dgp_n_users,dgp_conversion_rate
Last Click,0.04784887069890664,0.06821826597689837,0.8095238095238096,logistic,20000,0.02485
First Click,0.20156377039604884,0.24314131680198234,-0.39036002917941326,logistic,20000,0.02485
Linear,0.033721447250936044,0.04239115195954697,0.5238095238095238,logistic,20000,0.02485
Time Decay (7.0d),0.024059277487540744,0.03202750686066297,0.8095238095238096,logistic,20000,0.02485
Position-Based (40%/40%),0.06900443746034,0.0865006743702314,0.23809523809523814,logistic,20000,0.02485
Markov (order=1),0.05595625550549092,0.07189091632967103,0.23809523809523814,logistic,20000,0.02485
Markov (order=2),0.04526777485146164,0.06108780266474424,0.4285714285714286,logistic,20000,0.02485
Shapley (model-based),0.02682495780431744,0.03717613709524754,0.8095238095238096,logistic,20000,0.02485
Incremental Shapley,0.058489630018612536,0.06949523544072353,0.6190476190476191,logistic,20000,0.02485
Survival/Poisson (BackElim),0.06558223829898989,0.07446442934384197,0.8095238095238096,logistic,20000,0.02485
Survival/Poisson (AICPE),0.020644903633768162,0.03006393417202142,0.9047619047619049,logistic,20000,0.02485
Survival/Poisson (Shapley),0.013546288972723143,0.02004245901705,0.9047619047619049,logistic,20000,0.02485
IPW,0.06497348948463322,0.07771607354928751,0.4285714285714286,logistic,20000,0.02485
Doubly Robust,0.07092832503367237,0.08072771758775169,0.8229511997978236,logistic,20000,0.02485
DML,0.09266925250076155,0.10142173074714332,0.8229511997978236,logistic,20000,0.02485
Last Click,0.05279176358817683,0.06453460988115003,0.8095238095238096,markov,20000,0.0219
First Click,0.038375805530282796,0.04167093221743454,0.33333333333333337,markov,20000,0.0219
Linear,0.01663310884355109,0.019317540098246447,0.8095238095238096,markov,20000,0.0219
Time Decay (7.0d),0.0210040401783926,0.025080820541534363,0.8095238095238096,markov,20000,0.0219
Position-Based (40%/40%),0.01912178042890677,0.02282770907196467,0.9047619047619049,markov,20000,0.0219
Markov (order=1),0.004168519676519372,0.004728777346419968,0.9047619047619049,markov,20000,0.0219
Markov (order=2),0.004984202388466918,0.005362304665486982,0.8095238095238096,markov,20000,0.0219
Shapley (model-based),0.1652281479877419,0.19123592499561107,0.6197797868009122,markov,20000,0.0219
Incremental Shapley,0.14847232247553577,0.169494566650414,0.5143444998736397,markov,20000,0.0219
Survival/Poisson (BackElim),0.12529245587469962,0.14884554516659665,0.4285714285714286,markov,20000,0.0219
