seed,n_users,conv_rate,credit,user_features_label,user_features,mae,rmse,kendall_tau,top3_acc
42,20000,0.02465,shapley,multivariate (segment+device),segment+device,0.018976435397315996,0.024002100389595115,0.8095238095238096,1.0
42,20000,0.02465,shapley,univariate (segment),segment,0.02025177996408348,0.023701458148495374,0.9047619047619049,1.0
42,20000,0.02465,shapley,device only,device,0.020522500577986776,0.02682067584431527,0.9047619047619049,1.0
42,20000,0.02465,shapley,no user feature,(none),0.020974061945712694,0.026863420293553122,0.9047619047619049,1.0
42,20000,0.02465,backelim,multivariate (segment+device),segment+device,0.06042335410411063,0.0893990226942911,0.9047619047619049,1.0
42,20000,0.02465,backelim,univariate (segment),segment,0.06574290471866831,0.09677530936625624,0.9047619047619049,1.0
42,20000,0.02465,backelim,device only,device,0.060261910586804315,0.08801390082462086,0.9047619047619049,1.0
42,20000,0.02465,backelim,no user feature,(none),0.06531436099880372,0.0961248036205687,0.9047619047619049,1.0
1,20000,0.0238,shapley,multivariate (segment+device),segment+device,0.011583362562162804,0.014884070686292484,1.0,1.0
1,20000,0.0238,shapley,univariate (segment),segment,0.012990412616988741,0.015807507149440136,1.0,1.0
1,20000,0.0238,shapley,device only,device,0.024400198667127927,0.028674467344002256,1.0,1.0
1,20000,0.0238,shapley,no user feature,(none),0.026262559337441174,0.02976738994981648,0.9047619047619049,1.0
1,20000,0.0238,backelim,multivariate (segment+device),segment+device,0.05202155216605532,0.07046928182465223,1.0,1.0
1,20000,0.0238,backelim,univariate (segment),segment,0.050061182717740293,0.06727046310169263,1.0,1.0
1,20000,0.0238,backelim,device only,device,0.05463747604751971,0.06999491736910711,1.0,1.0
1,20000,0.0238,backelim,no user feature,(none),0.052587242515203456,0.06699129344506267,1.0,1.0
7,20000,0.0242,shapley,multivariate (segment+device),segment+device,0.013611507197094691,0.014240018444844038,0.8095238095238096,0.6666666666666666
7,20000,0.0242,shapley,univariate (segment),segment,0.011988603070012942,0.012418358699417084,0.8095238095238096,0.6666666666666666
7,20000,0.0242,shapley,device only,device,0.016477233393054434,0.017574314261176813,0.9047619047619049,1.0
7,20000,0.0242,shapley,no user feature,(none),0.017018975492305247,0.018101951876861578,0.9047619047619049,1.0
7,20000,0.0242,backelim,multivariate (segment+device),segment+device,0.049222513468286704,0.07283315675966591,0.9047619047619049,1.0
7,20000,0.0242,backelim,univariate (segment),segment,0.04841720624268111,0.0713602472682357,0.9047619047619049,1.0
7,20000,0.0242,backelim,device only,device,0.05408292475637694,0.07578376971794339,0.9047619047619049,1.0
7,20000,0.0242,backelim,no user feature,(none),0.05293190511582784,0.07380056602055234,0.9047619047619049,1.0
13,20000,0.02525,shapley,multivariate (segment+device),segment+device,0.024101828389084704,0.028546482545284434,0.8095238095238096,1.0
13,20000,0.02525,shapley,univariate (segment),segment,0.02323553244525699,0.028288180821298525,0.8095238095238096,1.0
13,20000,0.02525,shapley,device only,device,0.022296339813915367,0.025072465795235505,0.9047619047619049,1.0
13,20000,0.02525,shapley,no user feature,(none),0.02266268709208869,0.02496648944211309,0.9047619047619049,1.0
13,20000,0.02525,backelim,multivariate (segment+device),segment+device,0.05779040958798083,0.08512092204237497,0.8095238095238096,1.0
13,20000,0.02525,backelim,univariate (segment),segment,0.05649538171997727,0.08338103233334511,0.8095238095238096,1.0
13,20000,0.02525,backelim,device only,device,0.0585898044450771,0.08613298722062873,0.9047619047619049,1.0
13,20000,0.02525,backelim,no user feature,(none),0.05777572867358384,0.08520142940287669,0.9047619047619049,1.0
100,20000,0.02485,shapley,multivariate (segment+device),segment+device,0.011605253201484715,0.013606803911047008,0.9047619047619049,1.0
100,20000,0.02485,shapley,univariate (segment),segment,0.01195235887396988,0.014115799443664671,0.9047619047619049,1.0
100,20000,0.02485,shapley,device only,device,0.020011869116002824,0.026106809550404775,1.0,1.0
100,20000,0.02485,shapley,no user feature,(none),0.02066792584933841,0.027070853826507493,1.0,1.0
100,20000,0.02485,backelim,multivariate (segment+device),segment+device,0.048527217530451305,0.06445901361297876,1.0,1.0
100,20000,0.02485,backelim,univariate (segment),segment,0.04807186202349029,0.06352715370746842,1.0,1.0
100,20000,0.02485,backelim,device only,device,0.05197227076732902,0.06812511389897083,1.0,1.0
100,20000,0.02485,backelim,no user feature,(none),0.05210585878975061,0.06720103145361662,1.0,1.0
